Account,Day,Campaign,Ad group,Ad group state,Clicks,Impressions,CTR,Avg. CPC,Cost
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_RealEstate_LTG000_oo_oo_S_A#11,LONG35_2,enabled,31,642,4.83%,0.39,12.18
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_RealEstate_LTG000_oo_oo_S_A#11,LONG35_3,enabled,4,184,2.17%,0.30,1.18
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_RetailersGeneralMerchandise_LTG000_oo_oo_S_A#8,LONG35_1,enabled,77,1186,6.49%,0.33,25.65
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG25_4,enabled,4,146,2.74%,0.30,1.19
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG35_1,enabled,54,1389,3.89%,0.34,18.13
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG35_2,enabled,49,876,5.59%,0.41,20.29
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_1,enabled,18,629,2.86%,0.32,5.76
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_4,enabled,27,1093,2.47%,0.32,8.76
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Vehicles_LTG000_oo_oo_S_A#10,LONG35_2,enabled,70,1993,3.51%,0.51,35.48
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Vehicles_LTG000_oo_oo_S_A#10,LONG35_3,enabled,60,1412,4.25%,0.39,23.65
Total, --, --, --, --,39455,794928,4.96%,0.43,"16,770.95"
